epoch,loss,lr
1,1.6285005049272017,0.0001
2,1.5429872274398804,0.0001
3,1.4659904783422297,0.0001
4,1.417966831814159,0.0001
5,1.3728020733053035,0.0001
6,1.3483784198760986,0.0001
7,1.3344199657440186,0.0001
8,1.3101360147649592,0.0001
9,1.2994943965565076,0.0001
10,1.2911664139140735,0.0001
11,1.2743885842236606,0.0001
12,1.2665443745526401,0.0001
13,1.2591351379047742,0.0001
14,1.2535830302671953,0.0001
15,1.254832842133262,0.0001
16,1.2511846152218906,0.0001
17,1.244436188177629,0.0001
18,1.2310008027336814,0.0001
19,1.2229752974076704,0.0001
20,1.2249161221764304,0.0001
21,1.2278068174015393,0.0001
22,1.215463248166171,0.0001
23,1.2089375149119983,0.0001
24,1.2047333717346191,0.0001
25,1.1958538835698909,0.0001
26,1.193518952889876,0.0001
27,1.189420927654613,0.0001
28,1.1821958910335193,0.0001
29,1.1878724640065974,0.0001
30,1.1892681446942417,0.0001
31,1.1870779449289495,0.0001
32,1.1903000636534258,0.0001
33,1.1794286207719282,0.0001
34,1.1743770295923406,0.0001
35,1.1682646166194568,0.0001
36,1.1691116094589233,0.0001
37,1.1658456542275168,0.0001
38,1.1596465652639216,0.0001
39,1.1660382097417659,0.0001
40,1.1607083515687422,0.0001
41,1.1546192602677778,0.0001
42,1.1557550755414097,0.0001
43,1.1571570959958164,0.0001
44,1.156058203090321,0.0001
45,1.1467885754325173,0.0001
46,1.142191475087946,0.0001
47,1.141623616218567,0.0001
48,1.1357752626592463,0.0001
49,1.1378093632784756,0.0001
50,1.14411799474196,0.0001
51,1.1421639160676436,0.0001
52,1.1335696632211858,0.0001
53,1.1273897886276245,0.0001
54,1.1242859905416316,0.0001
55,1.1321793469515713,0.0001
56,1.1184601458636196,0.0001
57,1.1248138492757624,0.0001
58,1.1229604265906594,0.0001
59,1.1205245039679788,0.0001
60,1.1133980425921353,0.0001
61,1.1137048114429822,0.0001
62,1.1155202063647183,0.0001
63,1.1151649951934814,0.0001
64,1.1098564321344548,0.0001
65,1.1107204719023271,0.0001
66,1.1101783297278665,0.0001
67,1.1002573641863735,0.0001
68,1.1021256663582542,0.0001
69,1.1083654273640027,0.0001
70,1.1041973395781084,0.0001
71,1.1079788424751975,0.0001
72,1.0985256108370693,0.0001
73,1.0994355895302512,0.0001
74,1.0983976234089246,0.0001
75,1.0922642729499124,0.0001
76,1.0967973470687866,0.0001
77,1.0890590385957197,0.0001
78,1.092408754608848,0.0001
79,1.0897726579145952,0.0001
80,1.0889110565185547,0.0001
81,1.0817828178405762,0.0001
82,1.0802920840003274,0.0001
83,1.0850896618582986,0.0001
84,1.0807766264135188,0.0001
85,1.0873256921768188,0.0001
86,1.0807531096718528,0.0001
87,1.0819391012191772,0.0001
88,1.0819961374456233,0.0001
89,1.072823405265808,5e-05
90,1.0693852793086658,5e-05
91,1.0622694925828413,5e-05
92,1.0733340761878274,5e-05
93,1.0654791701923718,5e-05
94,1.0678326975215564,5e-05
95,1.0588320602070203,5e-05
96,1.059700684113936,5e-05
97,1.0553995695981113,5e-05
98,1.0529272122816606,5e-05
99,1.0574105978012085,5e-05
100,1.0545111244375056,5e-05
101,1.0495901324532249,5e-05
102,1.0503480976278132,5e-05
103,1.053151715885509,5e-05
104,1.0567820180546155,5e-05
105,1.0481480360031128,5e-05
106,1.0470666451887651,5e-05
107,1.0421966422687878,5e-05
108,1.0432243889028376,5e-05
109,1.0470952770926736,5e-05
110,1.0460709225047717,5e-05
111,1.0479633266275579,5e-05
112,1.045527544888583,5e-05
113,1.0465099811553955,5e-05
114,1.0406900969418613,2.5e-05
115,1.0443320599469272,2.5e-05
116,1.0304130586710842,2.5e-05
117,1.036299001086842,2.5e-05
118,1.0368370901454578,2.5e-05
119,1.0352721647782759,2.5e-05
120,1.0307158556851475,2.5e-05
121,1.0344872691414573,2.5e-05
122,1.0296370874751697,2.5e-05
123,1.0288126414472407,2.5e-05
124,1.0314302065155723,2.5e-05
125,1.0311728390780361,2.5e-05
126,1.0280195095322349,2.5e-05
127,1.027705962007696,2.5e-05
128,1.031016853722659,2.5e-05
129,1.0230525677854365,2.5e-05
130,1.0260558778589421,2.5e-05
131,1.0195559100671248,2.5e-05
132,1.0224055647850037,2.5e-05
133,1.0225194692611694,2.5e-05
134,1.0198702703822742,2.5e-05
135,1.0205401940779253,2.5e-05
136,1.021774102341045,2.5e-05
137,1.0237963037057356,2.5e-05
138,1.0246734023094177,1.25e-05
139,1.0213992920788852,1.25e-05
140,1.0226195129481228,1.25e-05
141,1.0145774266936562,1.25e-05
142,1.0129610679366372,1.25e-05
143,1.0086932886730542,1.25e-05
144,1.0132550326260654,1.25e-05
145,1.0102225704626604,1.25e-05
146,1.011556175622073,1.25e-05
147,1.012547032399611,1.25e-05
148,1.0061784061518582,1.25e-05
149,1.0144840316338972,1.25e-05
150,1.0143145322799683,1.25e-05
